"year","precipitation","precipitation_1y","precipitation_7y"
1979,114.183200604202,114.183200604202,114.183200604202
1980,148.945693524729,104.26198546731,104.26198546731
1981,126.865711134178,126.865711134178,126.865711134178
1982,137.33473079792,96.1343115585441,137.33473079792
1983,147.053892549502,147.053892549502,147.053892549502
1984,100.641730678967,70.449211475277,100.641730678967
1985,144.748247347343,144.748247347343,144.748247347343
1986,168.995484157495,118.296838910246,168.995484157495
1987,223.002292385718,223.002292385718,223.002292385718
1988,173.575980990063,121.503186693044,121.503186693044
1989,122.273731590303,122.273731590303,122.273731590303
1990,128.876985694478,90.2138899861347,128.876985694478
1991,176.084091920347,176.084091920347,176.084091920347
1992,174.630636072561,122.241445250793,174.630636072561
1993,128.589568039388,128.589568039388,128.589568039388
1994,151.860405922798,106.302284145959,151.860405922798
1995,189.876907554935,189.876907554935,189.876907554935
1996,135.659066179505,94.9613463256537,94.9613463256537
1997,146.292389320388,146.292389320388,146.292389320388
1998,186.611598797754,130.628119158428,186.611598797754
1999,215.000130887165,215.000130887165,215.000130887165
2000,162.084309731836,113.459016812285,162.084309731836
2001,179.037929249807,179.037929249807,179.037929249807
2002,178.006661342079,124.604662939455,178.006661342079
2003,161.392361655271,161.392361655271,161.392361655271
2004,173.598745028448,121.519121519914,121.519121519914
2005,224.974078227751,224.974078227751,224.974078227751
2006,233.249473740943,163.27463161866,233.249473740943
2007,222.610525014534,222.610525014534,222.610525014534
2008,208.847270571277,146.193089399894,208.847270571277
2009,168.052391552192,168.052391552192,168.052391552192
2010,149.733429812295,104.813400868607,149.733429812295
2011,215.682335719976,215.682335719976,215.682335719976
2012,231.411220561495,161.987854393046,161.987854393046
2013,233.260944642279,233.260944642279,233.260944642279
2014,152.663248203135,106.864273742194,152.663248203135
2015,184.490920701137,184.490920701137,184.490920701137
2016,210.412924391858,147.2890470743,210.412924391858
