year,precipitation_annual_accumulated
1979,1370.19840725043
1980,1787.34832229675
1981,1522.38853361014
1982,1648.01676957504
1983,1764.64671059402
1984,1207.70076814761
1985,1736.97896816811
1986,2027.94580988993
1987,2676.02750862861
1988,2082.91177188075
1989,1467.28477908364
1990,1546.52382833374
1991,2113.00910304417
1992,2095.56763287073
1993,1543.07481647265
1994,1822.32487107358
1995,2278.52289065922
1996,1627.90879415406
1997,1755.50867184465
1998,2239.33918557304
1999,2580.00157064598
2000,1945.01171678203
2001,2148.45515099769
2002,2136.07993610494
2003,1936.70833986325
2004,2083.18494034138
2005,2699.68893873302
2006,2798.99368489132
2007,2671.32630017441
2008,2506.16724685533
2009,2016.6286986263
2010,1796.80115774754
2011,2588.18802863971
2012,2776.93464673794
2013,2799.13133570735
2014,1831.95897843762
2015,2213.89104841364
2016,2524.95509270229
