Prec_reduction,Frequency_y,h,variable,break_point1,break_point2,Timeindex_1,Timeindex_2
30,1,0.25,npp,1988-06,1999-02,114,242
30,1,0.25,photo,1989-12,2006-09,132,333
30,1,0.25,cleaf,1989-12,2006-10,132,334
30,1,0.25,croot,1989-12,2006-10,132,334
30,1,0.25,cwood,1991-07,2006-10,151,334
30,1,0.25,cheart,1991-07,2006-10,151,334
30,1,0.25,csap,1990-05,2006-10,137,334
30,1,0.25,csto,1988-07,1999-01,115,241
30,1,0.25,evapm,1997-11,2007-05,227,341
30,1,0.25,ar,1990-01,2006-10,133,334
30,1,0.25,lai,1990-02,2006-10,134,334
30,1,0.25,f5,1989-11,2006-10,131,334
30,1,0.25,ctotal,1990-08,2006-10,140,334
30,1,0.25,wue,1997-06,2006-12,222,336
30,3,0.25,npp,1991-11,2006-01,155,325
30,3,0.25,photo,1992-01,2006-01,157,325
30,3,0.25,cleaf,1992-03,2006-12,159,336
30,3,0.25,croot,1992-03,2006-12,159,336
30,3,0.25,cwood,1991-11,2001-08,155,272
30,3,0.25,cheart,1991-11,2001-08,155,272
30,3,0.25,csap,1997-07,NA,223,NA
30,3,0.25,csto,1991-11,2006-02,155,326
30,3,0.25,evapm,1992-02,2007-06,158,342
30,3,0.25,ar,1997-07,NA,223,NA
30,3,0.25,lai,1992-03,2006-12,159,336
30,3,0.25,f5,1991-12,2006-01,156,325
30,3,0.25,ctotal,1992-12,2006-04,168,328
30,3,0.25,wue,2006-11,NA,335,NA
30,5,0.25,npp,2002-07,NA,283,NA
30,5,0.25,photo,2002-07,NA,283,NA
30,5,0.25,cleaf,2002-08,NA,284,NA
30,5,0.25,croot,2002-08,NA,284,NA
30,5,0.25,cwood,1991-10,2002-08,154,284
30,5,0.25,cheart,1991-10,2002-08,154,284
30,5,0.25,csap,2003-11,NA,299,NA
30,5,0.25,csto,1988-09,2002-07,117,283
30,5,0.25,evapm,2002-07,NA,283,NA
30,5,0.25,ar,2003-11,NA,299,NA
30,5,0.25,lai,2003-11,NA,299,NA
30,5,0.25,f5,1994-04,2003-10,184,298
30,5,0.25,ctotal,1997-08,2007-02,224,338
30,5,0.25,wue,1989-07,2006-05,127,329
30,7,0.25,npp,1997-11,2007-05,227,341
30,7,0.25,photo,1997-10,2007-04,226,340
30,7,0.25,cleaf,2005-01,NA,313,NA
30,7,0.25,croot,2005-01,NA,313,NA
30,7,0.25,cwood,2004-10,NA,310,NA
30,7,0.25,cheart,1997-12,2007-06,228,342
30,7,0.25,csap,2004-09,NA,309,NA
30,7,0.25,csto,1997-12,2007-06,228,342
30,7,0.25,evapm,2007-06,NA,342,NA
30,7,0.25,ar,2004-07,NA,307,NA
30,7,0.25,lai,2007-04,NA,340,NA
30,7,0.25,f5,1997-10,2007-04,226,340
30,7,0.25,ctotal,2006-01,NA,325,NA
30,7,0.25,wue,1989-07,2004-10,127,310
regclim,NA,0.25,npp,1998-06,NA,234,NA
regclim,NA,0.25,photo,NA,NA,NA,NA
regclim,NA,0.25,cleaf,NA,NA,NA,NA
regclim,NA,0.25,croot,NA,NA,NA,NA
regclim,NA,0.25,cwood,1992-01,2001-07,157,271
regclim,NA,0.25,cheart,1992-01,2001-07,157,271
regclim,NA,0.25,csap,NA,NA,NA,NA
regclim,NA,0.25,csto,NA,NA,NA,NA
regclim,NA,0.25,evapm,1998-05,NA,233,NA
regclim,NA,0.25,ar,NA,NA,NA,NA
regclim,NA,0.25,lai,NA,NA,NA,NA
regclim,NA,0.25,f5,1998-06,NA,234,NA
regclim,NA,0.25,ctotal,1992-12,2002-09,168,285
regclim,NA,0.25,wue,1989-07,2004-10,127,310
