init,climate,var
bfast,regclim,npp
bfast,regclim,photo
bfast,regclim,evapm
bfast,regclim,ctotal
bfast,regclim,cleaf
bfast,regclim,croot
bfast,regclim,cwood
bfast,regclim,csto
bfast,regclim,csap
bfast,regclim,cheart
bfast,regclim,ar
bfast,regclim,wue
bfast,regclim,lai
bfast,regclim,f5
bfast,1y,npp
bfast,1y,photo
bfast,1y,evapm
bfast,1y,ctotal
bfast,1y,cleaf
bfast,1y,croot
bfast,1y,cwood
bfast,1y,csto
bfast,1y,csap
bfast,1y,cheart
bfast,1y,ar
bfast,1y,wue
bfast,1y,lai
bfast,1y,f5
bfast,3y,npp
bfast,3y,photo
bfast,3y,evapm
bfast,3y,ctotal
bfast,3y,cleaf
bfast,3y,croot
bfast,3y,cwood
bfast,3y,csto
bfast,3y,csap
bfast,3y,cheart
bfast,3y,ar
bfast,3y,wue
bfast,3y,lai
bfast,3y,f5
bfast,5y,npp
bfast,5y,photo
bfast,5y,evapm
bfast,5y,ctotal
bfast,5y,cleaf
bfast,5y,croot
bfast,5y,cwood
bfast,5y,csto
bfast,5y,csap
bfast,5y,cheart
bfast,5y,ar
bfast,5y,wue
bfast,5y,lai
bfast,5y,f5
bfast,7y,npp
bfast,7y,photo
bfast,7y,evapm
bfast,7y,ctotal
bfast,7y,cleaf
bfast,7y,croot
bfast,7y,cwood
bfast,7y,csto
bfast,7y,csap
bfast,7y,cheart
bfast,7y,ar
bfast,7y,wue
bfast,7y,lai
bfast,7y,f5
