YEAR,weighted_mean_wd_diff_relative,weighted_mean_g1_diff_relative,weighted_mean_sla_diff_relative
1979,0.0,0.0,0.0
1980,0.3332019181352633,1.7656998228448006,0.5058108720026693
1981,-0.12273050638038853,-3.8094428427049083,-0.7163536718771383
1982,1.4543613520975451,3.7646571137904905,0.5850628447092996
1983,-0.7318495906853595,1.005574202186596,-0.128037605150952
1984,0.5930335486713058,0.7102792536641387,-1.4180670821534016
1985,-0.13229909073118484,1.1571821105646731,0.40858569072031015
1986,-1.1283279456515671,-4.1086200264722645,2.4663290130038047
1987,0.08929652364487503,-1.830247327967865,0.7455226622651063
1988,-3.8733705236511837,9.622410362862425,3.4781634909542487
1989,-1.626941865389516,4.811804323312355,3.0077923956736714
1990,-1.1353294002538032,-1.347028329741071,2.337154522518492
1991,-2.4140115601127103,3.502959101708978,2.368559065544679
1992,0.5188569511530362,-2.144406463369547,-0.7908492060786062
1993,-1.1612684421471935,3.2802933233950324,2.305707787079811
1994,-1.042425976122126,0.6963543736414836,2.233838359473474
1995,-1.9397761629645354,6.026667413182846,4.327218655720516
1996,-1.6987693929108212,0.44039577173940836,1.6494248065217092
1997,-1.9917009340144798,-5.746524048996507,1.6376213055820026
1998,-3.7198031722630427,0.40716260646833735,3.6831257614992854
1999,0.8780795370217513,3.2598967956864864,-0.7100199279406118
2000,-3.95304823052286,-6.750694517371087,5.243552214114546
2001,-5.566004955850665,4.765646787611828,4.943077706144481
2002,-1.3378090906000992,1.2389906214808086,1.9128820476862172
2003,-4.858858132513108,-4.4004148935737435,6.732621033915466
2004,-3.0401856439583343,-2.2306326159061474,2.0274211791438517
2005,-8.498073815192821,4.195819159830878,7.089756513583066
2006,-6.4728746438340785,2.4352596557467323,7.095757419201242
2007,-7.511462584275125,4.97521341857206,5.033993112261744
2008,-7.941630690703278,1.9127572134284498,8.998830024771
2009,-4.8635111823945945,-1.495704404685633,5.02782250101605
2010,-10.821447121264551,-0.5023146290339233,9.787579708080003
2011,-5.58153746350504,7.901085794993761,4.253522277209132
2012,-9.799710295618038,-0.015272447140368439,7.867524714190063
2013,-13.94380687767208,4.0982983894837055,11.388079438496785
2014,-10.597403533420714,4.645805452783048,9.639557631668872
2015,-10.874749249089092,4.630054968012538,6.791518429087853
2016,-13.075165332129604,-6.7364383700195445,9.005178316335828
