,YEAR,weighted_mean_g1,weighted_mean_sla,weighted_mean_wd,Source
1,1979,9.71470593294791,29.1329834974023,0.616043427479312,7y
2,1980,9.52786253947405,29.2306491934489,0.616663824731986,7y
3,1981,9.31394058844085,28.2847246185648,0.625586108725501,7y
4,1982,9.51919107184101,29.2350675351365,0.614763966730368,7y
5,1983,9.48440181726429,28.8379166991061,0.619601913716055,7y
6,1984,9.57705755392297,28.5288142321871,0.611991069047009,7y
7,1985,9.56531045240241,29.5483848669095,0.617153449671028,7y
8,1986,9.19607891317631,28.9642959125752,0.623094144246552,7y
9,1987,9.40179733715278,29.0081569002045,0.614576983222781,7y
10,1988,10.0202330124413,29.0019899576594,0.611158021700884,7y
11,1989,9.58428296409312,29.1689523745778,0.613874707899687,7y
12,1990,9.29111726562263,29.5352846297706,0.607831052311801,7y
13,1991,9.57308174135067,29.7780978823012,0.592197512364822,7y
14,1992,9.41084116491683,28.5152141712232,0.620045049516202,7y
15,1993,9.46415306416147,30.142949341295,0.601916849558837,7y
16,1994,9.44670109650412,29.4068666004692,0.601345032717485,7y
17,1995,9.77050981832307,29.0062389349124,0.61689056940322,7y
18,1996,9.19451715613833,28.4379800521016,0.622232552794721,7y
19,1997,9.20771458450429,29.7648383783861,0.594044632998546,7y
20,1998,9.47139739039761,29.6336047808347,0.600200570437862,7y
21,1999,9.61160411979259,28.531932316101,0.624907755583203,7y
22,2000,9.11753659739572,29.912716308927,0.598828012349527,7y
23,2001,9.61904575450048,29.641050797002,0.588698595508117,7y
24,2002,9.60529218596995,29.6661630664761,0.60151191506376,7y
25,2003,9.38618371274958,30.0479257301495,0.59608056103277,7y
26,2004,9.52119163073976,29.838209022281,0.593087032738677,7y
27,2005,9.29919079328496,30.281884825063,0.579458550659714,7y
28,2006,9.50235889072573,30.4419079936696,0.57758055747701,7y
29,2007,9.76291773439349,30.1692324739636,0.570840621434155,7y
30,2008,9.53721303250747,29.9337506033669,0.591818957751675,7y
31,2009,9.25269629433698,30.8435491573458,0.563637604554567,7y
32,2010,9.27830974280401,30.7572972719325,0.559732348537822,7y
33,2011,10.0426039496812,29.9375479650357,0.581885787865637,7y
34,2012,9.28181725374296,30.7600258389876,0.552991316061557,7y
35,2013,9.18048055432155,30.8234132455042,0.545992632974332,7y
36,2014,9.35895851267319,30.732833678604,0.552936468503193,7y
37,2015,9.51635068777167,30.5088812946728,0.553861637611933,7y
38,2016,9.10585554281221,30.2956135381393,0.549189635643553,7y
